"gene_name","switching","max_abs_dif","max_abs_dif_any","gene_expression","novel_involved","dataset","reference","isg_class"
"CD74",FALSE,,0.0186333333333333,399.726734246515,FALSE,"U_UT","UT","Type II"
"CDC37",FALSE,,0.00819999999999999,475.289201514054,FALSE,"U_UT","UT","Type I + II"
"CDC42EP4",FALSE,,0.00813333333333334,26.9865935187505,FALSE,"U_UT","UT","Type II"
"CITED1",FALSE,,0.0587,37.085097098227,FALSE,"U_UT","UT","Type II"
"CNOT7",FALSE,,0.0575,179.373215569196,FALSE,"U_UT","UT","Type I"
"CXCL16",FALSE,,0.0437666666666667,50.2200260702286,FALSE,"U_UT","UT","Type II"
"CYP27B1",FALSE,,0.0665666666666667,69.9438999404653,FALSE,"U_UT","UT","Type II"
"DAPK1",FALSE,,0.0805333333333333,79.6198817352956,FALSE,"U_UT","UT","Type II"
"DAPK3",FALSE,,0.0330333333333334,63.5778115060767,FALSE,"U_UT","UT","Type II"
"DCST1",FALSE,,0.0410333333333333,189.543038101292,FALSE,"U_UT","UT","Type I"
"EIF4E2",FALSE,,0.1657,166.813621071458,FALSE,"U_UT","UT","Type I"
"EPRS1",FALSE,,0.049,383.958746999576,FALSE,"U_UT","UT","Type II"
"FLNB",FALSE,,0.0775666666666666,60.5828364917844,FALSE,"U_UT","UT","Type II"
"GAPDH",FALSE,,0.0349333333333333,2384.7858093429,FALSE,"U_UT","UT","Type II"
"GBP1",FALSE,,0.0776,67.3764389667114,FALSE,"U_UT","UT","Type II"
"GBP3",FALSE,,0.0482666666666667,71.4251276983343,FALSE,"U_UT","UT","Type II"
"GBP4",FALSE,,0.0582666666666667,33.3800517216011,FALSE,"U_UT","UT","Type II"
"GBP5",FALSE,,0.106666666666667,18.4875690530945,FALSE,"U_UT","UT","Type II"
"GCH1",FALSE,,0.109666666666667,56.1765378644103,FALSE,"U_UT","UT","Type II"
"GIGYF2",FALSE,,0.0491666666666667,64.352577000813,FALSE,"U_UT","UT","Type I"
"GSN",FALSE,,0.0153666666666667,1110.0150197725,FALSE,"U_UT","UT","Type II"
"HCK",FALSE,,0.0667,97.278391262502,FALSE,"U_UT","UT","Type II"
"HDAC4",FALSE,,0.0360666666666666,10.6094549571651,FALSE,"U_UT","UT","Type I"
"IFI27",FALSE,,0.00546666666666668,397.478308747536,FALSE,"U_UT","UT","Type I"
"IFIH1",FALSE,,0.0394,112.329523319644,FALSE,"U_UT","UT","Type I"
"IFIT1",FALSE,,0.0483333333333333,187.559551060254,FALSE,"U_UT","UT","Type I"
"IFITM2",FALSE,,0.0262333333333333,1205.99706871236,FALSE,"U_UT","UT","Type I + II"
"IFITM3",FALSE,,0.0027666666666667,1810.72489086401,FALSE,"U_UT","UT","Type I + II"
"IFNAR1",FALSE,,0.0960333333333333,85.8223271542784,FALSE,"U_UT","UT","Type I"
"IFNAR2",FALSE,,0.0660333333333333,315.863179649119,FALSE,"U_UT","UT","Type I"
"IFNGR1",FALSE,,0.0379,308.180695302388,FALSE,"U_UT","UT","Type II"
"IFNGR2",FALSE,,0.0178,456.413929849365,FALSE,"U_UT","UT","Type II"
"IKBKE",FALSE,,0.0878,118.559457108741,FALSE,"U_UT","UT","Type I"
"IL12RB1",FALSE,,0.0976,14.4861525791464,FALSE,"U_UT","UT","Type II"
"IRAK1",FALSE,,0.0101666666666667,435.65836667446,FALSE,"U_UT","UT","Type I"
"IRF1",FALSE,,0.0259666666666667,117.426117666043,FALSE,"U_UT","UT","Type II"
"IRF3",FALSE,,0.0257,148.307824749849,FALSE,"U_UT","UT","Type I"
"IRF7",FALSE,,0.0328666666666667,97.1405637795015,FALSE,"U_UT","UT","Type I"
"IRF8",FALSE,,0.0627333333333333,68.640162316236,FALSE,"U_UT","UT","Type II"
"ISG15",FALSE,,1e-04,758.466187846471,FALSE,"U_UT","UT","Type I"
"JAK1",FALSE,,0.0478,101.365952678398,FALSE,"U_UT","UT","Type I + II"
"JAK2",FALSE,,0.0662333333333333,54.1925010844759,FALSE,"U_UT","UT","Type II"
"KIF5B",FALSE,,0.0475333333333333,172.571455845042,FALSE,"U_UT","UT","Type II"
"KYNU",FALSE,,0.0333,490.026148156993,FALSE,"U_UT","UT","Type II"
"LSM14A",FALSE,,0.0594,135.318971917763,FALSE,"U_UT","UT","Type I"
"MED1",FALSE,,0.0604,42.257288944657,FALSE,"U_UT","UT","Type II"
"MEFV",FALSE,,0.0274,16.3820169382775,FALSE,"U_UT","UT","Type II"
"METTL3",FALSE,,0.0356666666666667,57.7794979137125,FALSE,"U_UT","UT","Type I"
"MX1",FALSE,,0.0617666666666667,151.247526218845,FALSE,"U_UT","UT","Type I"
"MYD88",FALSE,,0.0261333333333333,121.47101500701,FALSE,"U_UT","UT","Type I"
"MYO1C",FALSE,,0.0741666666666667,21.5164596718789,FALSE,"U_UT","UT","Type II"
"NLRC5",FALSE,,0.0327,65.4448459411824,FALSE,"U_UT","UT","Type I + II"
"NOS2",FALSE,,0.0390333333333333,27.0990484368767,FALSE,"U_UT","UT","Type II"
"NR1H2",FALSE,,0.1448,68.5612803959336,FALSE,"U_UT","UT","Type II"
"NR1H3",FALSE,,0.0224,55.6573117296569,FALSE,"U_UT","UT","Type II"
"NUB1",FALSE,,0.0789333333333333,151.153464010994,FALSE,"U_UT","UT","Type II"
