"gene_name","overlap_class","T_gene_id","U_gene_id","T_n_switching","U_n_switching","T_max_abs_dif","U_max_abs_dif","delta_max_abs_dif","T_min_q","U_min_q","T_novel_involved","U_novel_involved","T_opposing","U_opposing","T_rank","U_rank"
"CHST15","T-only","XLOC_007464",,1,,0.1762,,,0.000136518894547025,,FALSE,,FALSE,,163,
"MEIKIN","T-only","XLOC_043956",,1,,0.175133333333333,,,0.0407507766759713,,TRUE,,FALSE,,164,
"RAB7B","T-only","XLOC_004829",,5,,0.1741,,,4.32719236470046e-23,,TRUE,,TRUE,,51,
"JADE3","T-only","XLOC_055234",,1,,0.172933333333333,,,0.0360750676704684,,FALSE,,FALSE,,165,
"MERTK","T-only","XLOC_029250",,1,,0.172866666666667,,,1.50409055316631e-05,,TRUE,,FALSE,,166,
"MOK","T-only","XLOC_016918",,1,,0.172733333333333,,,0.00527892483732302,,FALSE,,FALSE,,167,
"SOX5","T-only","XLOC_012456",,2,,0.170966666666667,,,0.000537210331093829,,TRUE,,TRUE,,53,
"BPNT2","T-only","XLOC_051993",,2,,0.1708,,,1.73665391804961e-18,,TRUE,,TRUE,,54,
"DCUN1D4","T-only","XLOC_039304",,2,,0.1706,,,0.00137399080983534,,TRUE,,TRUE,,55,
"MEOX2","T-only","XLOC_049028",,1,,0.1706,,,0.0179590753998377,,FALSE,,FALSE,,168,
"ALG1","T-only","XLOC_019395",,2,,0.1697,,,8.29729696397889e-08,,TRUE,,FALSE,,169,
"PRKAR1B","T-only","XLOC_048915",,1,,0.168833333333333,,,0.0299373683787165,,FALSE,,FALSE,,170,
"RTN4RL2","T-only","XLOC_008203",,1,,0.168633333333333,,,6.13178297262357e-05,,FALSE,,FALSE,,171,
"FBXO28","T-only","XLOC_002392",,2,,0.168566666666667,,,0.000140357399876349,,TRUE,,TRUE,,56,
"SEC14L2","T-only","XLOC_034947",,2,,0.1682,,,0.0130762271474659,,FALSE,,TRUE,,57,
"BCL7B","T-only","XLOC_049531",,2,,0.168033333333333,,,1.93047135577884e-07,,FALSE,,TRUE,,58,
"SORT1","T-only","XLOC_003879",,1,,0.165833333333333,,,0.00384416081787596,,TRUE,,FALSE,,172,
"RASAL2","T-only","XLOC_001966",,2,,0.1658,,,0.00325413777445229,,FALSE,,TRUE,,59,
"USP18","T-only","XLOC_034636",,5,,0.165566666666667,,,4.58938756885197e-13,,TRUE,,TRUE,,60,
"R3HCC1L","T-only","XLOC_006121",,1,,0.162866666666667,,,0.00421119824701473,,TRUE,,FALSE,,173,
"CCSER2","T-only","XLOC_005987",,1,,0.1628,,,0.0205274331693437,,FALSE,,FALSE,,174,
"ZDHHC21","T-only","XLOC_053892",,1,,0.162666666666667,,,0.0235887425139848,,FALSE,,FALSE,,175,
"CDA","T-only","XLOC_000332",,1,,0.160933333333333,,,0.038586546179063,,TRUE,,FALSE,,176,
"BMP4","T-only","XLOC_016460",,1,,0.1605,,,0.0181046440268268,,FALSE,,FALSE,,177,
"SLITRK4","T-only","XLOC_057156",,2,,0.1599,,,0.000333571752608824,,FALSE,,TRUE,,61,
"CLN8","T-only","XLOC_050251",,2,,0.1598,,,5.19185806460791e-05,,FALSE,,TRUE,,62,
"TMEM200A","T-only","XLOC_045620",,1,,0.158633333333333,,,0.0107408642814638,,TRUE,,FALSE,,178,
"RGPD6","T-only","XLOC_031305",,1,,0.1586,,,0.0440074539513721,,FALSE,,FALSE,,179,
"RHOT1","T-only","XLOC_022129",,1,,0.157933333333333,,,1.79791180750605e-12,,TRUE,,FALSE,,180,
"FUT7","T-only","XLOC_054896",,2,,0.157266666666667,,,7.26677217165528e-77,,FALSE,,TRUE,,63,
"MRM1","T-only","XLOC_022206",,2,,0.157133333333333,,,0.00205270736781288,,FALSE,,TRUE,,64,
"SLC9A7","T-only","XLOC_056436",,1,,0.156333333333333,,,0.00142949821495016,,TRUE,,FALSE,,182,
"HACD4","T-only","XLOC_053931",,1,,0.154633333333333,,,0.00101197104141921,,TRUE,,FALSE,,184,
"TEX41","T-only","XLOC_029507",,2,,0.154066666666667,,,0.000103295236064152,,TRUE,,TRUE,,66,
"TARS1-DT","T-only","XLOC_043254",,2,,0.153866666666667,,,3.90005203417855e-06,,FALSE,,TRUE,,67,
"TIMP2","T-only","XLOC_024293",,1,,0.153533333333333,,,0.000525056480404501,,FALSE,,FALSE,,185,
