"rank","gene_name","dif_rank","lfc_rank","visibility","called_in","annotation_robust","cross_genotype_support","dif_anchor","dif_reannot","dif_cross","lfc_anchor","lfc_reannot","expr_anchor","n_iso_anchor","switches_anchor","switches_reannot","testable_reannot","switches_cross","testable_cross"
36,"LINC00278",0.235,-0.569237004645487,"also changes expression","both annotations",TRUE,"not testable in H_HT",0.235,0.241566666666667,,-0.569237004645487,-0.607894884381015,12.5078127805088,1,TRUE,TRUE,TRUE,FALSE,FALSE
37,"CCL3",0.234666666666667,4.55786289889207,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.234666666666667,0.235966666666667,,4.55786289889207,4.64815398465184,5413.64924643446,2,TRUE,TRUE,TRUE,FALSE,TRUE
38,"CCDC117",0.233266666666667,0.0511285753983946,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.233266666666667,,,0.0511285753983946,0.102679021615235,17.4346043281078,1,TRUE,FALSE,TRUE,FALSE,TRUE
39,"PRKACB",0.2291,-0.768530361194864,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.2291,,,-0.768530361194864,,,FALSE,TRUE,TRUE,FALSE,TRUE
40,"HESX1",0.226833333333333,2.37526036689495,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.226833333333333,,,2.37526036689495,,,FALSE,TRUE,TRUE,FALSE,FALSE
41,"COG4",0.2253,-0.407575763660233,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.2253,,,-0.407575763660233,-0.474483926322552,47.2378826940962,1,TRUE,FALSE,TRUE,FALSE,TRUE
42,"RASSF1",0.222966666666667,-0.75915686387302,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.222966666666667,,,-0.75915686387302,-0.707557419980728,25.8399032275865,1,TRUE,FALSE,TRUE,FALSE,TRUE
43,"PLD6",0.2215,0.168862378485861,"cryptic (DE would miss it)","both annotations",TRUE,"tested in H_HT, not switching",0.2215,0.221833333333333,,0.168862378485861,0.245704248710331,23.0457351917712,2,TRUE,TRUE,TRUE,FALSE,TRUE
44,"PITPNC1",0.221233333333333,-0.503761396648691,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.221233333333333,,,-0.503761396648691,-0.474620802062661,13.5460128935292,2,TRUE,FALSE,TRUE,FALSE,TRUE
45,"CTTNBP2NL",0.221033333333333,-0.117525407825791,"cryptic (DE would miss it)","both annotations",TRUE,"tested in H_HT, not switching",0.221033333333333,0.194233333333333,,-0.117525407825791,-0.0734414309055654,14.466461662933,1,TRUE,TRUE,TRUE,FALSE,TRUE
46,"MRPL42",0.2198,0.367237676623401,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.2198,,0.176342952731514,0.367237676623401,,,FALSE,TRUE,TRUE,FALSE,TRUE
47,"LIG1",0.218666666666667,-0.194647255048949,"cryptic (DE would miss it)","T_UT only",FALSE,"tested in H_HT, not switching",,0.218666666666667,,-0.239789767400425,-0.194647255048949,,,FALSE,TRUE,TRUE,FALSE,TRUE
48,"SAMD14",0.217633333333333,0.0747753087273765,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in H_HT",,0.217633333333333,,,0.0747753087273765,,,FALSE,TRUE,TRUE,FALSE,FALSE
49,"KATNA1",0.214433333333333,-0.226387541621089,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.214433333333333,,,-0.226387541621089,-0.0467721438084592,33.7580375197563,1,TRUE,FALSE,TRUE,FALSE,TRUE
50,"TMEM14A",0.213633333333333,0.43530931191623,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.213633333333333,,-0.188683366967822,0.43530931191623,,,FALSE,TRUE,TRUE,FALSE,FALSE
51,"HS1BP3",0.211666666666667,-1.05828606874175,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.211666666666667,,-1.16475998811064,-1.05828606874175,,,FALSE,TRUE,TRUE,FALSE,FALSE
52,"TBC1D12",0.2096,0.557059834210823,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.2096,,,0.557059834210823,,,FALSE,TRUE,TRUE,FALSE,FALSE
53,"JDP2",0.2092,0.432024577604786,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.2092,0.2357,,0.432024577604786,0.430635222176813,109.179872998101,2,TRUE,TRUE,TRUE,FALSE,TRUE
54,"ATRN",0.207866666666667,-0.200120867767839,"cryptic (DE would miss it)","both annotations",TRUE,"not testable in H_HT",0.207866666666667,0.207866666666667,,-0.200120867767839,-0.135708691078085,13.904928740681,2,TRUE,TRUE,TRUE,FALSE,FALSE
55,"ZC3HAV1",0.207366666666667,3.20102280608979,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.207366666666667,0.202066666666667,,3.20102280608979,3.29332062746051,198.611553368056,1,TRUE,TRUE,TRUE,FALSE,TRUE
56,"NEMP1",0.2042,1.20867527044782,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.2042,0.235066666666667,,1.20867527044782,1.28254531063296,125.834162252827,1,TRUE,TRUE,TRUE,FALSE,TRUE
57,"ZP3",0.2027,0.843691395751327,"also changes expression","both annotations",TRUE,"also switches in H_HT",0.2027,0.228166666666667,0.300633333333333,0.843691395751327,0.957188310274281,19.88036739763,1,TRUE,TRUE,TRUE,TRUE,TRUE
58,"SNX10",0.201366666666667,-1.05231951005105,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.201366666666667,,-1.11679587590367,-1.05231951005105,,,FALSE,TRUE,TRUE,FALSE,TRUE
59,"ELMOD2",0.1997,-0.517103105997189,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.1997,,,-0.517103105997189,,,FALSE,TRUE,TRUE,FALSE,TRUE
60,"TMIGD3",0.193933333333333,-1.40333514857881,"also changes expression","both annotations",TRUE,"not testable in H_HT",0.193933333333333,0.1529,,-1.40333514857881,-0.927864858404158,20.4040150233382,1,TRUE,TRUE,TRUE,FALSE,FALSE
61,"TRIM22",0.1938,3.0562101614902,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.1938,,,3.0562101614902,3.01835730841545,45.2648899763089,1,TRUE,FALSE,TRUE,FALSE,TRUE
62,"NME7",0.1929,-0.294101827536992,"also changes expression","T_HT only",FALSE,"not testable in H_HT",0.1929,,,-0.294101827536992,-0.27826659534084,13.5807717689682,1,TRUE,FALSE,TRUE,FALSE,FALSE
63,"TMEM170B",0.1927,-1.17674337524849,"also changes expression","both annotations",TRUE,"not testable in H_HT",0.1927,0.208566666666667,,-1.17674337524849,-1.13179374947513,15.516069736843,2,TRUE,TRUE,TRUE,FALSE,FALSE
64,"MYZAP",0.192266666666667,-0.565306410532078,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.192266666666667,,-0.610161601789207,-0.565306410532078,,,FALSE,TRUE,TRUE,FALSE,TRUE
65,"FAM53B",0.189566666666667,-0.717647349439007,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.189566666666667,0.192366666666667,,-0.717647349439007,-0.649704398728762,15.62033415582,1,TRUE,TRUE,TRUE,FALSE,TRUE
66,"CCL4",0.188466666666667,4.05589584494338,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.188466666666667,0.188233333333333,,4.05589584494338,4.13490594916708,10684.147663363,2,TRUE,TRUE,TRUE,FALSE,TRUE
67,"TMEM218",0.1882,0.265925040743598,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.1882,,0.234968777216818,0.265925040743598,,,FALSE,TRUE,TRUE,FALSE,TRUE
68,"RNASEH1",0.1878,-0.176346372410361,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.1878,,,-0.176346372410361,0.444604966075573,38.919063406393,2,TRUE,FALSE,TRUE,FALSE,TRUE
69,"SPRING1",0.187766666666667,0.00488597836834782,"cryptic (DE would miss it)","T_UT only",FALSE,"not testable in H_HT",,0.187766666666667,,-0.257802608403672,0.00488597836834782,,,FALSE,TRUE,TRUE,FALSE,FALSE
70,"DGKA",0.186933333333333,-0.551375351786825,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.186933333333333,,,-0.551375351786825,,,FALSE,TRUE,TRUE,FALSE,TRUE
71,"SAP130",0.186566666666667,-0.370961950194572,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.186566666666667,,-0.427838872555889,-0.370961950194572,,,FALSE,TRUE,TRUE,FALSE,TRUE
72,"OSBPL7",0.185966666666667,-0.661871107828824,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.185966666666667,,,-0.661871107828824,,,FALSE,TRUE,TRUE,FALSE,FALSE
73,"MOSMO",0.185433333333333,0.39810273838052,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.185433333333333,,,0.39810273838052,,,FALSE,TRUE,TRUE,FALSE,FALSE
74,"HERPUD2-AS1",0.1844,-0.692920909303143,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.1844,,,-0.692920909303143,,,FALSE,TRUE,TRUE,FALSE,FALSE
75,"UCHL3",0.184,0.0681357130726093,"cryptic (DE would miss it)","T_HT only",FALSE,"tested in H_HT, not switching",0.184,,,0.0681357130726093,0.080253504400064,74.48081467994,1,TRUE,FALSE,TRUE,FALSE,TRUE
76,"CLN8",0.183166666666667,-0.4101053917067,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.183166666666667,0.1598,,-0.4101053917067,-0.39905669459053,23.1786920052907,1,TRUE,TRUE,TRUE,FALSE,TRUE
77,"PTGFRN",0.183033333333333,-0.833931309508538,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.183033333333333,,,-0.833931309508538,,,FALSE,TRUE,TRUE,FALSE,FALSE
78,"SLC35A5",0.1824,-0.387969223894525,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.1824,,,-0.387969223894525,,,FALSE,TRUE,TRUE,FALSE,TRUE
79,"SP1",0.182066666666667,-0.293397801518844,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.182066666666667,0.184133333333333,,-0.293397801518844,-0.223175155409929,38.1019670551963,1,TRUE,TRUE,TRUE,FALSE,TRUE
80,"RIN2",0.180766666666667,1.40515586184822,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.180766666666667,,,1.40515586184822,,,FALSE,TRUE,TRUE,FALSE,TRUE
81,"TTC9C",0.179033333333333,-1.01816666371802,"also changes expression","T_UT only",FALSE,"tested in H_HT, not switching",,0.179033333333333,,-1.06088828629785,-1.01816666371802,,,FALSE,TRUE,TRUE,FALSE,TRUE
82,"SHFL",0.178666666666667,0.953067598454515,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.178666666666667,0.1562,,0.953067598454515,1.040127595598,76.1123797295843,1,TRUE,TRUE,TRUE,FALSE,TRUE
83,"PRKAR1B",0.177733333333333,0.0679369086239362,"cryptic (DE would miss it)","T_HT only",FALSE,"not testable in H_HT",0.177733333333333,,,0.0679369086239362,0.154602446106027,15.7106899690687,1,TRUE,FALSE,TRUE,FALSE,FALSE
84,"RASAL2",0.1772,-0.967824637944924,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.1772,0.1658,,-0.967824637944924,-0.9193964546084,25.4327347722266,1,TRUE,TRUE,TRUE,FALSE,TRUE
85,"CLEC4G",0.177166666666667,-0.730281881599008,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.177166666666667,0.160266666666667,,-0.730281881599008,-0.67650051565926,23.1671073513533,1,TRUE,TRUE,TRUE,FALSE,TRUE
86,"PYM1",0.177133333333333,-0.543012534511304,"also changes expression","both annotations",TRUE,"tested in H_HT, not switching",0.177133333333333,0.1764,,-0.543012534511304,-0.469747142346416,37.7258527563531,1,TRUE,TRUE,TRUE,FALSE,TRUE
87,"TEX30",0.176833333333333,0.00688320551992881,"cryptic (DE would miss it)","T_HT only",FALSE,"not testable in H_HT",0.176833333333333,,,0.00688320551992881,0.0251979149819944,24.5527384934358,1,TRUE,FALSE,TRUE,FALSE,FALSE
88,"UTS2",0.176833333333333,1.35717816541991,"also changes expression","T_UT only",FALSE,"not testable in H_HT",,0.176833333333333,,-0.374995854990219,1.35717816541991,,,FALSE,TRUE,TRUE,FALSE,FALSE
89,"SPHK1",0.1766,1.18151511429818,"also changes expression","T_HT only",FALSE,"tested in H_HT, not switching",0.1766,,,1.18151511429818,1.28548569243664,68.1268554464057,2,TRUE,FALSE,TRUE,FALSE,TRUE
